country_code,year,rd
ROU,2017,4317087.0
ROU,2018,4769280.0
RUS,2013,749797600.0
RUS,2014,847527000.0
RUS,2015,914669100.0
RUS,2016,943815200.0
RUS,2017,1019152400.0
RUS,2018,1028247600.0
SAU,2013,22823969.265
SYC,2016,42138.468
SGP,2013,7402400.0
SGP,2014,8316610.0
SGP,2015,9239470.0
SGP,2016,9140220.0
SGP,2017,9085860.0
SVN,2013,935006.0
SVN,2014,890232.0
SVN,2015,853067.0
SVN,2016,811953.0
SVN,2017,802291.0
SVN,2018,892399.0
ZAF,2013,25660573.0
ZAF,2014,29344977.0
ZAF,2015,32336679.0
ZAF,2016,35692973.0
ZAF,2017,38724590.0
LKA,2013,9670000.0
LKA,2014,10350070.0
LKA,2015,11904000.0
LKA,2016,15419300.0
LKA,2017,17003340.0
TJK,2013,47699.0
TJK,2014,52300.0
TJK,2015,52709.4
TJK,2016,58200.0
TJK,2017,70600.0
TJK,2018,66800.0
TZA,2013,375512710.23066
THA,2013,57038000.0
THA,2014,63489000.0
THA,2015,84672000.0
THA,2016,113555000.0
THA,2017,155143000.0
TTO,2013,99550.0
TTO,2014,144640.0
TTO,2015,137820.0
TTO,2016,136470.0
TTO,2017,138840.0
TTO,2018,135400.0
TUN,2013,504000.0
TUN,2014,529042.0
TUN,2015,533000.0
TUN,2016,542000.0
TUN,2018,633000.0
UGA,2014,118070000.0
UKR,2013,11161100.0
UKR,2014,10320300.0
UKR,2015,12224900.0
UKR,2016,11530700.0
UKR,2017,13379300.0
UKR,2018,16773700.0
URY,2013,3784004.26256
URY,2014,4467776.72031
URY,2015,5306006.42802
URY,2016,6491000.0
URY,2017,8261138.0
URY,2018,7666000.0
MAC,2013,210669.353
MAC,2014,384832.80669
MAC,2015,490950.0
MAC,2016,846516.582
MAC,2017,695937.548
MAC,2018,896092.176
SRB,2013,28175330.0
SRB,2014,30084387.0
SRB,2015,34990600.0
SRB,2016,37956300.0
SRB,2017,41531049.0
SRB,2018,46615667.0
MNE,2013,12586.0
MNE,2014,12559.0
MNE,2015,13667.834
MNE,2016,12833.0
MNE,2017,15003.0
MNE,2018,16981.0
AUS,2013,23129685.58996
AUS,2015,21151512.23238
AUS,2017,22555231.73314
AUT,2013,12007916.38491
AUT,2014,12863318.21477
AUT,2015,13146956.10688
AUT,2016,14331295.60752
AUT,2017,14655011.22837
AUT,2018,15962535.12902
AUT,2019,16846409.78799
BEL,2013,11358644.49754
BEL,2014,11935862.15687
BEL,2015,12651165.81477
BEL,2016,13894268.26614
BEL,2017,15355548.53994
BEL,2018,16513336.42561
CAN,2013,26504084.96732
CAN,2014,27793536.51539
CAN,2015,27005522.4182
CAN,2016,29014760.93647
CAN,2017,29659610.07225
CAN,2018,29003309.56168
CAN,2019,29771742.4356
DNK,2013,7793596.22214
DNK,2014,7877687.01405
DNK,2015,8517954.04248
DNK,2016,9207024.51723
DNK,2017,9682644.6942
DNK,2018,10054210.494
FRA,2013,58353303.11479
FRA,2014,60585661.83527
FRA,2015,61645623.01015
FRA,2016,63644993.16133
FRA,2017,66044914.26573
FRA,2018,68440898.83897
DEU,2013,102905465.26516
DEU,2014,109562637.77136
DEU,2015,114128210.99532
DEU,2016,122459831.74878
DEU,2017,134429819.51545
DEU,2018,141433504.59934
GRC,2013,2321721.05828
GRC,2014,2436024.77358
GRC,2015,2798161.29557
GRC,2016,2980060.78428
GRC,2017,3538547.80024
GRC,2018,3835586.23706
HUN,2013,3361355.49088
HUN,2014,3408354.43045
HUN,2015,3534537.66725
HUN,2016,3235146.29833
HUN,2017,3849702.55377
HUN,2018,4733514.47754
ISL,2013,243334.28108
ISL,2014,291561.79948
ISL,2015,355148.09671
ISL,2016,378447.94257
ISL,2017,401551.21733
ISL,2018,415758.31892
IRL,2013,3467755.05776
IRL,2014,3622788.11439
IRL,2015,3840109.99804
IRL,2016,3997839.79486
IRL,2018,4713043.52239
ITA,2013,28459417.4141
ITA,2014,29448322.4362
ITA,2015,30002911.32641
ITA,2016,33073245.64847
ITA,2017,34657592.11111
ITA,2018,36006510.90302
JPN,2013,164655763.82175
JPN,2014,169554148.52584
JPN,2015,168546118.80654
JPN,2016,160294989.51016
JPN,2017,166183654.38065
JPN,2018,171293550.16097
KOR,2013,68234054.7489
KOR,2014,73099813.32758
KOR,2015,76932390.52973
KOR,2016,80798730.35448
KOR,2017,90386104.78256
KOR,2018,98451276.23707
LUX,2013,676602.3944
LUX,2014,712332.23773
LUX,2015,751738.03241
LUX,2016,810347.66074
LUX,2017,853462.99687
LUX,2018,859999.95271
MEX,2013,8774667.92164
MEX,2014,9458519.72539
MEX,2015,9577903.51668
MEX,2016,9242148.00254
MEX,2017,8112495.16821
MEX,2018,8053926.3723
NLD,2013,15969168.0678
NLD,2014,16404417.41943
NLD,2015,16913370.73532
NLD,2016,17779893.35385
NLD,2017,18803164.0903
NLD,2018,21463053.3097
NZL,2013,1856873.44007
NZL,2015,2125427.32204
NZL,2017,2679205.403
NOR,2013,5620360.89202
NOR,2014,5805587.52327
NOR,2015,6063453.91653
NOR,2016,6307411.74251
NOR,2017,6972141.44892
NOR,2018,7446972.30032
POL,2013,8185829.5333
POL,2014,9149349.62782
POL,2015,10234761.36533
POL,2016,10353614.33061
POL,2017,11844722.67054
POL,2018,14622024.88866
PRT,2013,3869849.05938
PRT,2014,3856231.47246
PRT,2015,3820807.46935
PRT,2016,4179484.98094
PRT,2017,4496076.30338
PRT,2018,4758849.81375
SVK,2013,1243832.5148
SVK,2014,1379512.66141
SVK,2015,1886935.12841
SVK,2016,1273405.59767
SVK,2017,1489672.11321
SVK,2018,1486941.31811
ESP,2013,19282451.09662
ESP,2014,19356204.11288
ESP,2015,19820573.5507
ESP,2016,20631421.06303
ESP,2017,22319313.38101
ESP,2018,23552882.88799
SWE,2013,14496350.81832
SWE,2014,14191147.12498
SWE,2015,15493207.86877
SWE,2016,16248921.34372
SWE,2017,17837326.77269
SWE,2018,18117085.36373
TUR,2013,13834817.34925
TUR,2014,15933049.58606
TUR,2015,17739024.78271
TUR,2016,19853132.95364
TUR,2017,21744006.74705
GBR,2013,41532086.39219
GBR,2014,43811100.10251
GBR,2015,45678218.85855
GBR,2016,48106500.62729
GBR,2017,51029126.32746
GBR,2018,53137811.64544
USA,2013,454823000.0
USA,2014,476459000.0
USA,2015,495094000.0
USA,2016,516590000.0
USA,2017,548984000.0
USA,2018,581553000.0
DZA,2017,2595755.78921
ARG,2013,5254776.50963
ARG,2014,4988670.22807
ARG,2015,5399222.38491
ARG,2016,4940912.23839
ARG,2017,5781951.96578
ARG,2018,5113412.52598
ARM,2013,63316.52764
ARM,2014,70597.43085
ARM,2015,72921.83148
ARM,2016,73244.32115
ARM,2017,81300.52469
ARM,2018,72515.57934
AZE,2013,339409.35797
AZE,2014,348925.08987
AZE,2015,320471.0984
AZE,2016,289393.30524
AZE,2017,256987.70807
AZE,2018,266251.21201
BLR,2013,1169311.08226
BLR,2014,907831.28337
BLR,2015,856010.98774
BLR,2016,843171.69944
BLR,2017,1014188.12661
BLR,2018,1108071.47159
BIH,2013,125403.63443
BIH,2014,102416.25084
BIH,2015,90061.42749
BIH,2016,94988.08976
BIH,2017,92648.51102
BIH,2018,96709.99639
BWA,2013,162984.62686
BRA,2013,37471046.24476
BRA,2014,40518508.57711
BRA,2015,40477269.63099
BRA,2016,37133371.23757
BRA,2017,33011288.01432
BRA,2018,36315513.91809
BRN,2018,73617.16853
BGR,2013,767171.59902
BGR,2014,1005441.54947
BGR,2015,1253400.92504
BGR,2016,1094495.11439
BGR,2017,1123273.06024
BGR,2018,1199781.60596
BFA,2014,58684.73168
BFA,2017,240772.53136
CHN,2013,323355527.81306
CHN,2014,346266282.70382
CHN,2015,366080932.15627
CHN,2016,393015494.45128
CHN,2017,420815584.16342
CHN,2018,465162264.57134
COL,2013,1604355.32252
COL,2014,1910249.92262
COL,2015,1826591.21219
COL,2016,1794113.17562
COL,2017,1700266.57515
COL,2018,1743278.11898
CRI,2013,386064.45483
CRI,2014,428601.16563
CRI,2015,361778.6579
CRI,2016,402731.47691
CRI,2017,416909.68995
CRI,2018,380412.15088
HRV,2013,751865.10895
HRV,2014,732218.02108
HRV,2015,812679.43793
HRV,2016,890604.18299
HRV,2017,946291.29697
HRV,2018,1113997.43673
CYP,2013,127261.61935
CYP,2014,131704.31339
CYP,2015,128643.54768
CYP,2016,157785.42334
CYP,2017,178530.52177
CYP,2018,189408.83448
COD,2015,280543.73895
ECU,2013,665571.61737
ECU,2014,827103.83382
EGY,2013,6338512.26831
EGY,2014,6271104.21714
EGY,2015,7647413.20666
EGY,2016,7489218.73362
EGY,2017,7217165.67653
EGY,2018,8289299.43886
SLV,2013,27524.77907
SLV,2014,42699.06261
SLV,2015,68952.85147
SLV,2016,74050.09986
SLV,2017,97630.16646
SLV,2018,93260.71336
EST,2013,624100.34761
EST,2014,544204.6727
EST,2015,563352.65967
EST,2016,512102.62511
EST,2017,570285.98628
EST,2018,675022.06075
ETH,2013,740408.20679
ETH,2017,590156.41218
GEO,2013,30994.48664
GEO,2014,74560.60281
GEO,2015,134781.33588
GEO,2016,137011.81677
GEO,2017,136905.14011
GEO,2018,152555.08014
GTM,2013,43873.63491
GTM,2014,35021.19401
GTM,2015,39085.40264
GTM,2016,30079.65936
GTM,2017,39561.41864
GTM,2018,41654.47351
HND,2015,6578.87583
HND,2017,20946.18211
HKG,2013,2814435.00491
HKG,2014,2931296.80357
HKG,2015,3133344.73118
HKG,2016,3323017.40348
HKG,2017,3539987.81308
HKG,2018,4021564.37999
IND,2013,45758506.44966
IND,2014,47574691.70488
IND,2015,49624344.94727
IND,2016,51811986.68612
IND,2017,55126972.17249
IND,2018,58721379.49783
IDN,2013,2147095.99466
IDN,2016,6734582.86518
IDN,2017,6889503.45394
IDN,2018,7051365.1974
IRN,2013,2951601.07484
IRN,2015,4454361.06643
IRN,2017,9736234.48216
ISR,2013,11272367.7624
ISR,2014,11732350.14733
ISR,2015,12666266.40748
ISR,2016,14591731.44899
ISR,2017,16352453.16169
ISR,2018,17669909.22747
JOR,2016,627651.45718
KAZ,2013,715168.98526
KAZ,2014,714847.24694
KAZ,2015,690613.23415
KAZ,2016,600950.84076
KAZ,2017,568100.88448
KAZ,2018,558309.51415
KWT,2013,830009.94467
KWT,2014,1104645.4197
KWT,2015,175005.14215
KWT,2016,141192.68664
KWT,2017,165854.75428
KWT,2018,133350.58346
KGZ,2013,34486.39643
KGZ,2014,31323.95553
KGZ,2015,29886.2709
KGZ,2016,31648.72983
KGZ,2017,33493.08776
KGZ,2018,33578.50687
LVA,2013,279407.37595
LVA,2014,327196.71999
LVA,2015,306170.65546
LVA,2016,227824.74829
LVA,2017,284737.92342
LVA,2018,378458.36145
LSO,2015,3232.25098
LTU,2013,749809.96826
LTU,2014,851351.71772
LTU,2015,874215.06404
LTU,2016,747148.6922
LTU,2017,857503.66057
LTU,2018,945434.78743
MKD,2013,115307.86169
MKD,2014,143452.15645
MKD,2015,127725.06523
MKD,2016,135880.51002
MKD,2017,114577.98036
MKD,2018,125657.95452
MDG,2014,4849.04466
MDG,2016,5055.83961
MDG,2017,5163.98378
MYS,2014,9280517.60901
MYS,2015,9605799.04094
MYS,2016,11093179.78154
MYS,2018,9250017.98999
MLT,2013,102263.78954
MLT,2014,103245.4427
MLT,2015,119242.80009
MLT,2016,100053.95828
MLT,2017,113621.06512
MLT,2018,120835.43377
MUS,2017,99216.91408
MUS,2018,99783.70523
MDA,2013,71360.95715
MDA,2014,78443.01162
MDA,2015,81172.23481
MDA,2016,82329.73917
MDA,2017,81455.00608
MDA,2018,86255.08926
MNG,2013,70672.31157
MNG,2014,72619.86449
MNG,2015,49936.52902
MNG,2016,60205.46986
MNG,2017,47496.57373
MNG,2018,39497.00402
MOZ,2015,109337.10556
PAK,2013,2298489.46568
PAK,2015,2145827.70049
PAK,2017,2245437.62252
PAN,2013,49534.3756
PAN,2014,125527.00076
PAN,2015,120909.12718
PAN,2016,162831.42051
PAN,2017,184031.02463
PRY,2013,51587.007
PRY,2014,59729.05354
PRY,2015,74325.94885
PRY,2016,95297.50314
PRY,2017,128717.73515
PRY,2018,133819.41584
PER,2013,274911.09671
PER,2014,374223.98251
PER,2015,412634.00655
PER,2016,446122.43323
PER,2017,475242.41082
PER,2018,532173.70514
PHL,2013,863715.68443
PHL,2015,1150918.38536
ROU,2013,1534514.98739
ROU,2014,1569458.48139
ROU,2015,2091472.24865
ROU,2016,2286927.26898
ROU,2017,2680195.80306
ROU,2018,2848697.12288
RUS,2013,38440135.52626
RUS,2014,40360590.74593
RUS,2015,38818630.27865
RUS,2016,39008636.15307
RUS,2017,42375694.37515
RUS,2018,41505115.22222
SAU,2013,13696027.64081
SEN,2015,250029.74621
SYC,2016,5391.76912
SGP,2013,8619299.19272
SGP,2014,9626254.30306
SGP,2015,10504174.62427
SGP,2016,10406651.71058
SGP,2017,10255153.75022
SVN,2013,1583663.47282
SVN,2014,1505708.3611
SVN,2015,1433393.59947
SVN,2016,1406797.72127
SVN,2017,1413479.56307
SVN,2018,1567372.13714
