country_code,country_name,articles,gdp_pc_ppp,haq,bmi_mean,bmi_men,bmi_women,country,cases,deaths,population,mortality,median_age,rd
IRL,Ireland,6187.603333333333,60341.82708736046,85.96666666666665,27.283704901666667,27.741567630000002,26.82584217333333,Ireland,253189,4921.0,4984926.0,0.019436073,36.73333366666667,1138109.8158393183
IRN,"Iran, Islamic Rep.",23213.106666666663,12834.008800216732,68.56666666666666,25.95835948,25.04782093,26.868898029999997,Iran,2673219,75261.0,84911245.0,0.028153698,29.60000066666667,6665742456.553761
IRQ,Iraq,529.5466666666666,8968.531398309786,57.23333333333333,28.229907408333332,27.24807789666667,29.211736919999996,Iraq,1117627,15800.0,40990787.0,0.014137096,19.433333333333334,9454374.6421236
ISL,Iceland,509.0533333333333,48436.39885364603,91.83333333333333,26.1491666,26.85875989,25.43957331,Iceland,6519,29.0,343139.0,0.004448535,36.03333266666667,5858004.287263201
ISR,Israel,11141.236666666666,34686.30137285457,83.16666666666667,27.09470284833333,27.28525649,26.90414920666667,Israel,838957,6378.0,9197590.0,0.007602297,30.300000333333333,13185565.607078334
ITA,Italy,58974.43666666667,42526.369303132735,87.23333333333333,25.79572217333333,26.608471276666666,24.98297307,Italy,4116287,123031.0,60385546.0,0.029888829,45.86666766666667,8009103.806654311
JOR,Jordan,1229.54,10679.546318890534,73.06666666666666,28.838231340000004,27.861870526666667,29.814592153333336,Jordan,720998,9125.0,10289738.0,0.012656068,22.266667,133664.030567
JPN,Japan,107346.46666666667,38403.11598579183,87.46666666666665,22.715985751666665,23.489966366666668,21.942005136666666,Japan,640044,10876.0,126144121.0,0.016992582,46.40000033333333,1762930907.2611132
KAZ,Kazakhstan,579.07,20525.896760370135,56.96666666666667,26.222046775,25.961709486666667,26.48238406333333,Kazakhstan,346497,3948.0,18968606.0,0.011394038,29.599999666666665,6868666.018931667
KGZ,Kyrgyz Republic,43.300000000000004,4154.64626879386,57.56666666666666,26.012982768333334,25.497706473333334,26.528259063333334,Kyrgyzstan,99033,1667.0,6616017.0,0.016832773,25.199999333333334,74023.94983229166
KHM,Cambodia,67.00333333333333,2793.651279627667,45.63333333333333,21.641738493333335,21.582145146666665,21.701331839999998,Cambodia,20223,131.0,16916534.0,0.006477773,24.100000333333337,8692652.822499
KOR,"Korea, Rep.",48356.323333333334,34081.674419650735,83.36666666666667,23.583973716666666,24.083736276666666,23.08421115666667,S. Korea,128283,1879.0,51307017.0,0.014647303,40.73333366666667,7064099354.953329
KWT,Kuwait,746.6566666666666,62266.68964755447,78.46666666666667,29.483402306666665,28.571389093333334,30.39541552,Kuwait,286046,1652.0,4324481.0,0.005775295,32.200001,95251.03698086207
LKA,Sri Lanka,527.4766666666666,9320.536179047702,68.5,22.578705466666666,22.022349093333332,23.135061840000002,Sri Lanka,128530,827.0,21490154.0,0.006434295,32.26666566666666,1335161.5492404
LSO,Lesotho,11.85,2297.8296566827967,34.43333333333334,24.596738196666667,22.38663225666667,26.806844136666665,Lesotho,10773,319.0,2156778.0,0.029611065,21.333333333333332,2123.403477
LTU,Lithuania,2111.6266666666666,25328.7154337262,73.46666666666665,26.476143770000004,26.82392819,26.12835935,Lithuania,259862,4053.0,2689592.0,0.01559674,42.26666633333333,186928.84858189654
LUX,Luxembourg,477.9566666666667,107734.54934471333,87.23333333333333,26.280392298333336,26.951237983333332,25.609546613333332,Luxembourg,68431,804.0,634666.0,0.011749061,39.30000066666667,220110.6680888889
LVA,Latvia,913.8233333333334,22679.171225409566,74.26666666666667,26.42913003166667,26.663030386666666,26.195229676666667,Latvia,124301,2213.0,1868260.0,0.017803557,42.40000033333333,68620.64408948275
MDA,Moldova,190.43666666666664,8714.109550790194,68.23333333333333,26.77550184,26.254598013333332,27.29640566666667,Moldova,252798,5958.0,4025917.0,0.023568224,35.799999,57322.33387716666
MDG,Madagascar,86.60333333333334,1553.3486027802435,42.6,21.109307491666666,21.30460199,20.914012993333333,Madagascar,39162,729.0,28296237.0,0.018614984,18.766667,500530.63495785714
MEX,Mexico,11403.536666666667,18342.432108918598,60.73333333333333,27.672240048333332,27.224709559999997,28.119770536666664,Mexico,2366496,219089.0,130090737.0,0.092579493,27.56666633333333,10398483.293230193
MKD,North Macedonia,359.5666666666666,13232.6075625999,73.36666666666667,26.473714114999996,26.90123558666667,26.04619264333333,North Macedonia,154051,5109.0,2083301.0,0.033164342,37.40000033333333,265363.9423136667
MLI,Mali,61.60333333333333,2060.5050050538134,44.5,22.62083199,22.576875883333333,22.664788096666665,Mali,14115,502.0,20746149.0,0.035565002,16.200000333333332,2542379.2204299998
MLT,Malta,193.01999999999998,33916.811933811,83.13333333333334,27.306162576666665,27.805654346666667,26.80667080666667,Malta,30458,417.0,442551.0,0.013690984,41.133334,27087.572779655173
MMR,Myanmar,59.61666666666667,3103.4591900405335,44.1,22.199191938333332,21.76322321666667,22.63516066,Myanmar,142963,3210.0,54721993.0,0.022453362,27.7,2896763.219319
MNE,Montenegro,110.90666666666665,16411.1473627321,77.76666666666667,26.265635146666668,26.600959556666666,25.930310736666666,Montenegro,98365,1544.0,628134.0,0.01569664,37.73333366666667,8069.871281896552
MNG,Mongolia,78.45666666666666,8128.708526686273,54.76666666666667,25.61607468833333,25.17651599,26.055633386666667,Mongolia,45936,179.0,3323332.0,0.003896726,27.13333366666667,5110224.050633959
MOZ,Mozambique,63.95666666666667,1037.0558488043966,41.166666666666664,22.33247043,21.718621456666664,22.946319403333334,Mozambique,70283,825.0,31999261.0,0.011738258,17.300000666666666,219734.064581
MRT,Mauritania,10.083333333333334,4844.27746230702,49.5,24.68393933,23.087566996666666,26.280311663333332,Mauritania,18691,456.0,4753541.0,0.024396768,19.733333666666667,3945.5208375
MUS,Mauritius,92.21333333333332,16755.7094113724,63.6,25.097933548333334,24.459979163333333,25.735887933333334,Mauritius,1256,17.0,1273577.0,0.013535032,35.30000066666667,231967.34807875
MYS,Malaysia,10782.39,21146.113516155667,64.56666666666666,25.156640811666666,24.75547149666667,25.557810126666666,Malaysia,444484,1700.0,32720210.0,0.00382466,27.866666999999996,3405048.86985275
NAM,Namibia,64.03333333333333,9088.058013286467,49.199999999999996,23.837170028333333,22.579326383333335,25.09501367333333,Namibia,50209,691.0,2580136.0,0.013762473,20.966666666666665,62581.900581999995
NIC,Nicaragua,25.52333333333333,4854.33762499416,61.633333333333326,26.877571235,26.227027996666667,27.528114473333332,Nicaragua,6989,183.0,6691897.0,0.026184003,25.2,61019.63286277777
