country_code,year,haq_interpolated
BEL,2009,85.96
BEL,2010,86.3
BEL,2011,86.62
BEL,2012,86.94
BEL,2013,87.26
BEL,2014,87.58
BEL,2015,87.9
BEN,1990,36.9
BEN,1991,36.92
BEN,1992,36.94
BEN,1993,36.96
BEN,1994,36.98
BEN,1995,37.0
BEN,1996,37.06
BEN,1997,37.12
BEN,1998,37.18
BEN,1999,37.239999999999995
BEN,2000,37.3
BEN,2001,37.919999999999995
BEN,2002,38.54
BEN,2003,39.16
BEN,2004,39.78
BEN,2005,40.4
BEN,2006,40.62
BEN,2007,40.839999999999996
BEN,2008,41.06
BEN,2009,41.28
BEN,2010,41.5
BEN,2011,41.8
BEN,2012,42.1
BEN,2013,42.4
BEN,2014,42.7
BEN,2015,43.0
BFA,1990,32.9
BFA,1991,33.14
BFA,1992,33.38
BFA,1993,33.62
BFA,1994,33.86
BFA,1995,34.1
BFA,1996,34.480000000000004
BFA,1997,34.86
BFA,1998,35.24
BFA,1999,35.62
BFA,2000,36.0
BFA,2001,36.86
BFA,2002,37.72
BFA,2003,38.58
BFA,2004,39.44
BFA,2005,40.3
BFA,2006,40.78
BFA,2007,41.26
BFA,2008,41.74
BFA,2009,42.22
BFA,2010,42.7
BFA,2011,42.74
BFA,2012,42.78
BFA,2013,42.82
BFA,2014,42.86
BFA,2015,42.9
BGD,1990,32.6
BGD,1991,33.24
BGD,1992,33.88
BGD,1993,34.519999999999996
BGD,1994,35.16
BGD,1995,35.8
BGD,1996,36.559999999999995
BGD,1997,37.32
BGD,1998,38.08
BGD,1999,38.84
BGD,2000,39.6
BGD,2001,40.54
BGD,2002,41.48
BGD,2003,42.42
BGD,2004,43.36
BGD,2005,44.3
BGD,2006,45.18
BGD,2007,46.06
BGD,2008,46.94
BGD,2009,47.82
BGD,2010,48.7
BGD,2011,49.300000000000004
BGD,2012,49.900000000000006
BGD,2013,50.5
BGD,2014,51.1
BGD,2015,51.7
BGR,1990,63.0
BGR,1991,63.04
BGR,1992,63.08
BGR,1993,63.120000000000005
BGR,1994,63.160000000000004
BGR,1995,63.2
BGR,1996,63.52
BGR,1997,63.84
BGR,1998,64.16
BGR,1999,64.48
BGR,2000,64.8
BGR,2001,65.17999999999999
BGR,2002,65.56
BGR,2003,65.94
BGR,2004,66.32000000000001
BGR,2005,66.7
BGR,2006,66.94
BGR,2007,67.18
BGR,2008,67.42
BGR,2009,67.66000000000001
BGR,2010,67.9
BGR,2011,68.60000000000001
BGR,2012,69.30000000000001
BGR,2013,70.0
BGR,2014,70.7
BGR,2015,71.4
BHR,1990,59.7
BHR,1991,60.400000000000006
BHR,1992,61.1
BHR,1993,61.800000000000004
BHR,1994,62.5
BHR,1995,63.2
BHR,1996,64.02
BHR,1997,64.84
BHR,1998,65.66
BHR,1999,66.48
BHR,2000,67.3
BHR,2001,68.1
BHR,2002,68.89999999999999
BHR,2003,69.7
BHR,2004,70.5
BHR,2005,71.3
BHR,2006,72.48
BHR,2007,73.66
BHR,2008,74.84
BHR,2009,76.02
BHR,2010,77.2
BHR,2011,77.56
BHR,2012,77.92
BHR,2013,78.28
BHR,2014,78.64
BHR,2015,79.0
BIH,1990,60.9
BIH,1991,61.14
BIH,1992,61.38
BIH,1993,61.62
BIH,1994,61.86
BIH,1995,62.1
BIH,1996,63.44
BIH,1997,64.78
BIH,1998,66.12
BIH,1999,67.46
BIH,2000,68.8
BIH,2001,69.46
BIH,2002,70.11999999999999
BIH,2003,70.78
BIH,2004,71.44
BIH,2005,72.1
BIH,2006,72.74
BIH,2007,73.38
BIH,2008,74.02
BIH,2009,74.66
BIH,2010,75.3
BIH,2011,75.88
BIH,2012,76.46
BIH,2013,77.04
BIH,2014,77.62
BIH,2015,78.2
BLR,1990,63.9
BLR,1991,63.76
BLR,1992,63.62
BLR,1993,63.480000000000004
BLR,1994,63.34
BLR,1995,63.2
BLR,1996,63.68
BLR,1997,64.16
BLR,1998,64.64
BLR,1999,65.11999999999999
BLR,2000,65.6
BLR,2001,66.08
BLR,2002,66.56
BLR,2003,67.03999999999999
BLR,2004,67.52
BLR,2005,68.0
BLR,2006,68.74
BLR,2007,69.48
BLR,2008,70.22
BLR,2009,70.96000000000001
BLR,2010,71.7
BLR,2011,72.24000000000001
BLR,2012,72.78
BLR,2013,73.32000000000001
BLR,2014,73.86
BLR,2015,74.4
BLZ,1990,49.7
BLZ,1991,49.86
BLZ,1992,50.02
BLZ,1993,50.18
BLZ,1994,50.34
BLZ,1995,50.5
BLZ,1996,50.52
BLZ,1997,50.54
BLZ,1998,50.56
BLZ,1999,50.58
BLZ,2000,50.6
BLZ,2001,51.22
BLZ,2002,51.84
BLZ,2003,52.46
BLZ,2004,53.080000000000005
BLZ,2005,53.7
BLZ,2006,54.22
BLZ,2007,54.74
BLZ,2008,55.26
BLZ,2009,55.78
BLZ,2010,56.3
BLZ,2011,56.699999999999996
BLZ,2012,57.099999999999994
BLZ,2013,57.5
BLZ,2014,57.9
BLZ,2015,58.3
BMU,1990,60.8
BMU,1991,61.599999999999994
BMU,1992,62.4
BMU,1993,63.199999999999996
BMU,1994,64.0
BMU,1995,64.8
